product_name,review_title,review_text,review_rating,helpful_count
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Love em,Love these. Was looking for converses and these were half the price and so unique— I’ve never seen clear shoes like these; they fit great. The plastic takes a little getting used to but the style is so worth it.,5,2 people found this helpful
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",The plastic ripped,"The shoes are very cute, but after the 2nd day of wearing them the tongue started ripping. After the 3rd day of wearing them the plastic on the side ripped. They could have ripped bc I was wearing them to work and I do a lot of walking at work. If you’re going to buy these I don’t recommend wearing them on days where you will do a lot of walking or they might rip",2,
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Good quality,Good quality,5,
"Klasified Women's Transparent Clear Sneaker Shoe, White, 5.5 UK",Good,Great,5,
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Perfect right outta the box,"True to size. If between I'd probably go with your lower end i.e 8-8.5 go 8. I wore these right out of the box for a little over 2 hours, most of which was walking around and they were incredibly comfortable no rubbing and I did not find any issue with the tongue being too stiff as I have seen mentioned in other reviews.",5,One person found this helpful
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Disappointed,This is the second pair I bought. Loved the first pair however not pleased with the 2nd pair. There is no padding in the tongue part of the shoe and it is causing irritation to my skin where it rubs. I am very disappointed and will not buy them again.,2,
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Wow!,"I love these shoes so much, it's my second pair, pure comfort!  Thank you Amazon!",5,
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Comfortable and attractive,"I have hard to fit feet and often a wide fitting shoe looks too big and bulky.  These shoes were comfortable right away with no pressure points.  I use them for run around shoes, going to the store, etc.  They look casual but are more attractive than a running shoe.  They have a nice rounded toe box and go with any kind of outfit.  I am very happy with them.",5,2 people found this helpful
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",My right foot fits size 11 fine but not the same for the left foot,"I really need 11 1/2 but these shoes do not come in half sizes.  My right foot fits size 11 fine but not the same for the left foot.  The only issue is the blue insole - my feet perspire and the blue colour runs into my socks.  Also, the round laces look nice but they do not remain tied; they need a knot in the bow to maintain the tie.  They are very attractive shoes and do not look huge in size 12. Thank you. CHL.",5,
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Great quality and comfort shoes,Great quality and comfort shoesI was so thrilled when I got my new shoes last week! I had bought a pair of a RAVON shoes over two years ago at an expensive shoe store and I did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and I have a bunion on my left big toe and I had plenty of room for that foot. Tmy new ones just like my old pair as far as being comfortable and they keepI got me balanced. By the way my original pair that are 2 1/2 years old are still good but I am using them to mow grass in because I feel safe walking in them. I wanted new ones because I needed some pretty ones that weren’t grungy looking. I am 67And being balanced is ver  important to me. I highly recommend these shoes because of the wonderful quality and comfort and I got them on sale! What a deal so I feel like I won the lottery! Also I neglected to mention they are very classy looking. Very well-made and beautiful and striking.,5,2 people found this helpful
